Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.7546712393566698,0.24753062030817857,0.7865662272441933,0.3765589782118708,0.8451133457846316
Decision Tree,0.8494362976978871,0.24609375,0.2900188323917137,0.2662568437229853,0.6001503570781976
Random Forest,0.8988489435509303,0.3946268656716418,0.13831345469763548,0.20483421134180355,0.809923015775416
Linear SVM,0.7545923998738568,0.24746543778801844,0.7865662272441933,0.3764835495017277,0.8447257276074044
KNN,0.771759697256386,0.2242316113859379,0.5785729232056915,0.32320280537697255,0.7426425134810486
Naive Bayes,0.720297224850205,0.2174591738712776,0.757899142079933,0.3379519477490086,0.7902911900282816
